code,title,author,category,publisher,quantity, coverImage
8bm9c3yw,FT1 - Đối thoại với các nền văn hóa Lebanon,Trịnh Huy Hóa,Văn học - Tiểu thuyết,NXB Trẻ,1
22requ83,FT1 - Xin chào ấn độ,hồ anh thái,Lịch sử - Địa lý,nxb văn nghệ,1
efrtq1r2,FT1 - Long Hot Summer,K.S.Rodriguez,Văn học - Tiểu thuyết,NXB Đồng Nai,1
5uo20wx0,FT1 - 60h trị mất gốc tiếng anh,Pasal,Ngoại ngữ,Nxb hồng đức,1
7wj8qlbr,FT1 - Tâm huyết trao đời,Nguyễn Ngọc Ký,Hồi ký - Tiểu sử - Tự truyện,NXB Tổng hợp TP.HCM,1
lmlqzjle,FT1 - Chuyện phần mềm 2.0,FPT Software,Other,NXB Lao Động Xã Hội,1
l6i978gl,FT1 - Điều Bí Mật Khủng Khiếp,Stefan Zweig,Văn học - Tiểu thuyết,NXB Hội Nhà Văn,1
snzsghff,FT1 - LEARN & PRACTICE VIETNAMESE,LÊ KHÁNH VY,Ngoại ngữ,NXB TỔNG HỢP TPHCM,1
x910pen9,FT1 - Bài học diệu kì từ chiếc xe rác,David J. Pollay,Tâm lý - Giáo dục,NXB Tổng hợp TPHCM,1
5hmngj8z,FT1 - Người Đan Chữ Xếp Thuyền,Miura Shion,Văn học - Tiểu thuyết,NXB Thế Giowia,1
5hmngj8m,FT1 - Điểm Mù (Blind Spots),Max H. Bazerman Ann E. Tenbrunsel,Kinh tế - Quản trị,NXB Thanh Niên,1
el9yzkdp,FT1 - Tự đào giếng trước khi chết khát,Harvey mackay,Kinh tế - Quản trị,Nxb đại học kinh tế quốc dân,1
ddu5m656,FT1 - Cambridge Ielts 2 with answer ediion,University of Cambridge local examinations syndicate,Ngoại ngữ,NXB thống kê,1
b4kj1m4u,FT1 - Nhân tố Enzyme - Trẻ hoá,Hiromi Shinya,Y học - Sức khỏe - Thể thao,NXB Thế Giới,1
yyf8qjro,FT1 - Cho tôi xin một vé đi tuổi thơ,Nguyễn Nhật Ánh,Văn học - Tiểu thuyết,NXB Trẻ,1
yyf8qjrk,FT1 - DEVELOPING SKILLS FOR THE TOEIC TEST,PAUL EDMUNDS ANNE TAYLOR,Ngoại ngữ,FIRST NEWS,1
550m4ocw,FT1 - Người thông minh giải quyết vấn đề như thế nào,Ken Watanabe,Kỹ năng mềm,NXB trẻ,1
